ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,genres_raw,match_method
671674366,Rock Star,Jackie Collins,1989,Pocket,"Music was their business - pleasure was their game.Rock Star blows the lid off the hard-driving lifestyles of today's music superstars.Kris Phoenix - The legendary and wildly sexy guitar hero,Bobby Mondella - Black soul superstar with a past,Rafealla - An exotically beautiful girl who comes between them with a vengeance.Rock Star takes you on a dangerous trip through the jungle of broken dreams and blackmail, hit records and hit men...a jungle of sex, drugs and rock 'n' roll.Rock Star is a love story that burns.Feel the heat...","['Fiction', 'Romance', 'Chick Lit', 'Contemporary Romance', 'Novels', 'Adult Fiction', 'Contemporary', 'Womens Fiction', 'Drama', 'Amazon']",title_author
515102636,Morning Glory,LaVyrle Spencer,1990,Jove Books,"LOVE IN A STRANGER'S EYES...ELLYIn town, they called her ""Crazy Widow Dinsmore."" But Elly was no stranger to their ridicule--she had been an outsider all her life, growing up in a boarded-up old house under the strict eye of her eccentric grandparents. Now she was all alone, with two little boys to raise, and a third child on the way.WILLHe drifted into Whitney, Georgia, one lazy afternoon in the summer of 1941, hoping to put his lonely past behind him. He yearned for the tenderness he had never known, the home he'd never had. All he needed was for someone to give him a chance.Then he saw her classified ad: WANTED--A husband. When he stepped across Elly Dinsmore's cluttered yard, Will Parker knew he had come home at last ...","['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Westerns', 'World War II', 'Contemporary', 'Adult', 'Western Romance']",title_author
449214931,The Power of Positive Thinking,Norman Vincent Peale,1991,Fawcett Books,"""This book is written with the sole objective of helping the reader achieve a happy, satisfying, and worthwhile life."" -- Norman Vincent PealeThe precursor to The Secret, The Power of Positive Thinking has helped millions of men and women to achieve fulfillment in their lives. In this phenomenal bestseller, Dr. Peale demonstrates the power of faith in action. With the practical techniques outlined in this book, you can energize your life -- and give yourself the initiative needed to carry out your ambitions and hopes. You'll learn how to: 
   
   Expect the best and get it 
  
   
   Believe in yourself and in everything you do 
  
   
   Develop the power to reach your goals 
  
   
   Break the worry habit and achieve a relaxed life 
  
   
   Improve your personal and professional relationships  
  
   
   Assume control over your circumstances 
  
   
   Be kind to yourself 
  
 ","['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Business', 'Inspirational', 'Philosophy', 'Spirituality', 'Religion', 'Leadership']",title_author
609607235,Love Stories of World War II,LARRY KING,2001,Crown,"Shares the stories of thirty-three couples who met and fell in love during World War II, offering a view of the personal side of the wartime experience and the legacy of relationships forged in the midst of tragedy.","['Nonfiction', 'History', 'World War II', 'Romance', 'Historical', 'Short Stories', 'Biography', 'Memoir', 'Adult', 'Military History']",title_author
345425308,Violin,Anne Rice,1999,Ballantine Books,"Anne Rice's Violin tells the story of two charismatic figures bound to each other by a passionate commitment to music as a means of rapture, seduction, and liberation.At the novel's center: a uniquely fascinating woman, Triana, and the demonic fiddler Stefan, a tormented ghost who begins to prey upon her, using his magic violin to draw her into a state of madness. But Triana sets out to resist Stefan, and the struggle thrusts them both into a terrifying supernatural realm.Violin flows abundant with the history, the drama, and the romantic intensity that have become synonymous with Anne Rice at her incomparable best.Anne Rice is the author of eighteen books. She lives in New Orleans.","['Fiction', 'Horror', 'Fantasy', 'Paranormal', 'Supernatural', 'Vampires', 'Historical Fiction', 'Gothic', 'Music', 'Ghosts']",title_author
515099511,The Hellion,LaVyrle Spencer,1999,Jove Books,"TWO HEARTS . . . WORLDS APARTRACHEL. The image of elegance, social standing, and beauty, she had barely recovered from her husband's death when the wildest, most passionate flame of her youth stepped into her life, once again...TOMMY LEE. The all-time hellraiser of Russellville, Alabama, he had three marriages behind him and a string of fast cars and women. The townsfolk said he'd never change. But Rachel knew differently...One they were high school sweethearts, too young and reckless to handle the consequences of their love. Now, twenty-four years later, Tommy Lee could still excite Rachel like no other man. Maybe this time, they could make it work. In spite of his wild reputation...the local gossip...or Rachel's questioning heart.","['Romance', 'Fiction', 'Contemporary Romance', 'Contemporary', 'Historical Romance', 'Romantic', 'M F Romance', '20th Century', 'Drama', 'Adult']",title_author
1892213680,Sailor Moon Vol. 9,Naoko Takeuchi,2001,Tokyopop,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.One of the most-beloved of all Japanese manga titles, Naoko Takeuchi's Sailor Moon has enthralled millions of readers worldwide since its debut in book form in early 1992. When Usagi Tsukino adopts a stray cat, she gets more than she bargains for The talking cat, Luna, informs Usagi that she is actually Sailor Moon, a magical princess from the future and protector of the Solar System. With the help of her new friends, the Sailor Scouts, and the mysterious Tuxedo Mask, Sailor Moon embarks on a quest to save us all from the evil powers of the Negaverse.","['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Young Adult', 'Fiction', 'Shojo', 'Comics Manga', 'Anime']",title_author
1892213478,Sailor Moon Vol. 8,Naoko Takeuchi,2001,Tokyopop,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.One of the most-beloved of all Japanese manga titles, Naoko Takeuchi's Sailor Moon has enthralled millions of readers worldwide since its debut in book form in early 1992. When Usagi Tsukino adopts a stray cat, she gets more than she bargains for The talking cat, Luna, informs Usagi that she is actually Sailor Moon, a magical princess from the future and protector of the Solar System. With the help of her new friends, the Sailor Scouts, and the mysterious Tuxedo Mask, Sailor Moon embarks on a quest to save us all from the evil powers of the Negaverse.","['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Young Adult', 'Fiction', 'Shojo', 'Comics Manga', 'Anime']",title_author
1892213206,"Sailor Moon, Vol. 5",Naoko Takeuchi,1999,TokyoPop,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.One of the most-beloved of all Japanese manga titles, Naoko Takeuchi's Sailor Moon has enthralled millions of readers worldwide since its debut in book form in early 1992. When Usagi Tsukino adopts a stray cat, she gets more than she bargains for The talking cat, Luna, informs Usagi that she is actually Sailor Moon, a magical princess from the future and protector of the Solar System. With the help of her new friends, the Sailor Scouts, and the mysterious Tuxedo Mask, Sailor Moon embarks on a quest to save us all from the evil powers of the Negaverse.","['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Young Adult', 'Fiction', 'Shojo', 'Comics Manga', 'Anime']",title_author
189221315X,"Sailor Moon, Vol. 4",Naoko Takeuchi,1999,TokyoPop,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.One of the most-beloved of all Japanese manga titles, Naoko Takeuchi's Sailor Moon has enthralled millions of readers worldwide since its debut in book form in early 1992. When Usagi Tsukino adopts a stray cat, she gets more than she bargains for The talking cat, Luna, informs Usagi that she is actually Sailor Moon, a magical princess from the future and protector of the Solar System. With the help of her new friends, the Sailor Scouts, and the mysterious Tuxedo Mask, Sailor Moon embarks on a quest to save us all from the evil powers of the Negaverse.","['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Young Adult', 'Fiction', 'Shojo', 'Comics Manga', 'Anime']",title_author
1892213060,"Sailor Moon, Vol. 3",Naoko Takeuchi,1999,TokyoPop,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.One of the most-beloved of all Japanese manga titles, Naoko Takeuchi's Sailor Moon has enthralled millions of readers worldwide since its debut in book form in early 1992. When Usagi Tsukino adopts a stray cat, she gets more than she bargains for The talking cat, Luna, informs Usagi that she is actually Sailor Moon, a magical princess from the future and protector of the Solar System. With the help of her new friends, the Sailor Scouts, and the mysterious Tuxedo Mask, Sailor Moon embarks on a quest to save us all from the evil powers of the Negaverse.","['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Young Adult', 'Fiction', 'Shojo', 'Comics Manga', 'Anime']",title_author
440184622,Tai-Pan,JAMES CLAVELL,1986,Dell,"An Alternate Cover of this edition can be found here.Set in the turbulent days of the founding of Hong Kong in the 1840s, Tai-Pan is the story of Dirk Struan, the ruler - the Tai-Pan - of the most powerful trading company in the Far East. He is also a pirate, an opium smuggler, and a master manipulator of men. This is the story of his fight to establish himself and his dynasty as the undisputed masters of the Orient.","['Historical Fiction', 'Fiction', 'Historical', 'China', 'Adventure', 'Asia', 'Classics', 'Novels', 'Literature', 'Asian Literature']",title_author
B00005NCS7,Moonlight Becomes You,Mary Higgins Clark,0,Simon &amp; Schuster,"Newport, Rhode Island: a world of old money, old names, and sinister secrets. Maggie Holloway, a fashion photographer, goes to visit a woman who had once been her stepmother, but when she arrives, the woman is dead, the victim of a violent robbery. Maggie is stunned when she learns that she's the beneficiary of the will - and even more stunned when she recognizes a pattern of murder in Newport society that will lead the killer straight to her.","['Mystery', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller', 'Crime', 'Adult', 'Adult Fiction', 'Romance', 'Romantic Suspense']",title_author
380789612,From the Dust Returned,Ray Bradbury,2002,Avon,"Ray Bradbury, America's most beloved storyteller, has spent a lifetime carrying readers to exhilarating and dangerous places, from dark street comers in unfamiliar cities and towns to the edge of the universe. Now, in an extraordinary flight of the imagination a half-century in the making, he takes us to a most wondrous destination: into the heart of an Eternal Family.They have lived for centuries in a house of legend and mystery in upper Illinois -- and they are not like other midwesterners. Rarely encountered in daylight hours, their children are curious and wild; their old ones have survived since before the Sphinx first sank its paws deep in Egyptian sands. And some sleep in beds with lids.Now the house is being readied in anticipation of the gala homecoming that will gather together the farflung branches of this odd and remarkable family. In the past-midnight stillness can be detected the soft fluttering of Uncle Einars wings. From her realm of sleep, Cecy, the fairest and most special daughter, can feel the approach of many a welcome being -- shapeshifter, telepath, somnambulist, vampire -- as she flies high in the consciousness of bird and bat.But in the midst of eager anticipation, a sense of doom pervades. For the world is changing. And death, no stranger, will always shadow this most singular family: Father, arisen from the Earth; Mother, who never sleeps but dreams; A Thousand Times Great Grandmére; Grandfather, who keeps the wildness of youth between his ears.And the boy who, more than anyone, carries the burden of time on his shoulders: Timothy, the sad and different foundling son who must share it all, remember, and tell...and who, alone out of all of them, must one day age and wither and die.By turns lyrical, wistful, poignant, and chilling, From the Dust Returned is the long-awaited new novel by the peerless Ray Bradbury -- a book that will surely be numbered among his most enduring masterworks.","['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Short Stories', 'Supernatural', 'Halloween', 'Science Fiction Fantasy', 'Classics', 'Paranormal']",title_author
380977338,I Wish I Had a Red Dress,Pearl Cleage,2001,William Morrow &amp; Company,"Cleage captures the mores, culture, and rhythm of black urban youth and the romantic tensions between mature black adults as she weaves contemporary issues into a love story.Joyce Mitchell was widowed far too young when her beloved husband, Mitch, died in a tragic accident five years ago. Since then she's kept her hands full and her mind and heart occupied by running The Sewing Circus, an all-girl group she founded to provide badly needed services like day care and job counseling to young women, many of whom are single mothers. More important, The Circus is a place for lively, wide-ranging, heart-to-heart discussions that will help members grow into what Joyce likes to call ""twenty-first-century free women."" All in all, Joyce has a full and rich life. She has her work, her family, her friends, and her town. But there are some nights when she crawls into bed alone and has to admit that something is missing. What she doesn't have is that red dress she keeps dreaming about or a social life that would accommodate it even if she braved the mall and bought one. To further complicate matters, she may not have The Sewing Circus much longer, as the state legislature has decided not to fund the group's vital but hard to define work with young women who are too often regarded as problems rather than possibilities. Feeling defeated and pessimistic, Joyce reluctantly agrees to keep a date for dinner at the home of her best friend, Sister -- a reverend like no other-and finds not only a perfect meal but a tall, dark stranger named Nate Anderson. Nate has just joined the administration at the high school and his unexpected presence in Idlewild touches a chord in Joyce that she thought her heart had forgotten how to play. Nate feels the same immediate connection, but both have enough experience with broken hearts to take it real slow. Besides, they've got too much work to do to concentrate on falling in love....But life moves at its own pace, and as Sister says, ""if you want to make God laugh, make plans."" Particularly when it comes to matters of the heart. Joyce decides the trick is to stay focused and to remember that nothing is as sexy as the truth, the whole truth, and nothing but the truth, especially if you tell it while you're wearing a perfect red dress...","['Fiction', 'African American', 'Chick Lit', 'Contemporary', 'African American Literature', 'Womens', 'Novels', 'Adult', 'Feminism', 'Romance']",title_author
440053277,Marathon Man,William Goldman,1974,Bantam Dell Pub Group,"Tom ""Babe"" Levy is a runner in every sense: racing tirelessly toward his goals of athletic and academic excellence--and endlessly away from the specter of his famous father's scandal-driven suicide. But an unexpected visit from his beloved older brother will set in motion a chain of events that plunge Babe into a vortex of terror, treachery, and murder--and force him into a race for his life . . . and for the answer to the fateful question, ""Is it safe?""","['Fiction', 'Thriller', 'Mystery', 'Crime', 'Mystery Thriller', 'Suspense', 'Espionage', 'Novels', 'Classics', 'Adventure']",title_author
449002640,The Unlikely Spy,Daniel Silva,1998,Signet Fiction,"""In wartime,"" Winston Churchill wrote, ""truth is so precious that she should always be attended by a bodyguard of lies.""For Britain's counterintelligence operations, this meant finding the unlikeliest agent imaginable-a history professor named Alfred Vicary, handpicked by Churchill himself to expose a highly dangerous, but unknown, traitor. The Nazis, however, have also chosen an unlikely agent: Catherine Blake, a beautiful widow of a war hero, a hospital volunteer - and a Nazi spy under direct orders from Hitler to uncover the Allied plans for D-Day...","['Fiction', 'Thriller', 'Historical Fiction', 'Mystery', 'Espionage', 'Mystery Thriller', 'Suspense', 'World War II', 'Spy Thriller', 'War']",title_author
399146407,The Bear and the Dragon,Tom Clancy,2000,Putnam Publishing Group,"
  Time and again, Tom Clancy's novels have been praised not only for their big-scale drama and propulsive narrative drive but for their cutting-edge prescience in predicting future events.
  
In The Bear and the Dragon, the future is very near at hand indeed.Newly elected in his own right, Jack Ryan has found that being President has gotten no easier: domestic pitfalls await him at every turn; there's a revolution in Liberia; the Asian economy is going down the tubes; and now, in Moscow, someone may have tried to take out the chairman of the SVR--the former KGB--with a rocket-propelled grenade. Things are unstable enough in Russia without high-level assassination, but even more disturbing may be the identities of the potential assassins. Were they political enemies, the Russian Mafia, or disaffected former KGB? Or, Ryan wonders, is something far more dangerous at work here?Ryan is right. For even while he dispatches his most trusted eyes and ears, including black ops specialist John Clark, to find out the truth of the matter, forces in China are moving ahead with a plan of truly audacious proportions. If they succeed, the world as we know it will never look the same. If they fail...the consequences will be unspeakable.Blending the exceptional realism and authenticity that are his hallmarks with intricate plotting, razor-sharp suspense, and a remarkable cast of characters, this is Clancy at his best--and there is none better.","['Fiction', 'Thriller', 'Espionage', 'Military Fiction', 'Action', 'Suspense', 'Adventure', 'War', 'Mystery', 'Spy Thriller']",title_author
786703687,The Devils of Loudun,Aldous Huxley,1996,Carroll &amp; Graf Publishers,"In 1634 Urbain Grandier, a handsome and dissolute priest of the parish of Loudun was tried, tortured and burnt at the stake. He had been found guilty of conspiring with the devil to seduce an entire convent of nuns in what was the most sensational case of mass possession and sexual hysteria in history. Grandier maintained his innocence to the end and four years after his death the nuns were still being subjected to exorcisms to free them from their demonic bondage. Huxley's vivid account of this bizarre tale of religious and sexual obsession transforms our understanding of the medieval world.","['History', 'Nonfiction', 'Religion', 'Classics', 'Literature', 'Psychology', 'Historical', 'France', 'Horror', 'Occult']",title_author
801854210,Tirant Lo Blanc,Joanot Martorell,1996,Johns Hopkins University Press,"Escrita a partir de 1460 i publicada per primera vegada el 1490, Tirant lo Blanc de Joanot Martorell és una novel·la cavalleresca que narra les aventures d'armes i d'amor del seu protagonista, Tirant, al servei d'un bell ideal: alliberar l'Imperi Grec, Constantinoble, del setge dels turcs. Qualificada encertadament per Vargas Llosa de novel·la total (alhora de cavalleria, cortesana, militar, eròtica i, en cert sentit, psicològica), la seva versemblança l'allunya de les novel·les de cavalleria de l'Edat Mitjana; i la seva trama, variada i rica en registres (des del to greu fins a l'humor; des de la crueltat fins al sensualisme), la fan una lectura plaent i divertida, que ha resistit el pas del temps. És, no res menys, una de les millors novel·les europees del moment i de tots els temps. Malgrat el seu encant indiscutible, Tirant lo Blanc és una novel·la que fins ara no estava a l'abast de la majoria de lectors potencials d'avui. La llengua —el català del s. XV— i l'extensió —més de vuit-centes pàgines atapeïdes—, juntament amb una bona part del seu estil, preciosament retòric i tant del gust de la seva època, però avui dia clarament anacrònic i pesat, impossibilitaven, de fet, que el lector no especialitzat i, d'una manera particular, el lector jove, hi entrés amb interès i es divertís amb les aventures dels seus personatges. Adreçada precisament a ells, aquesta versió modernitzada, i notòriament abreujada, intenta posar-los a l'abast un text senzill i de fàcil lectura, i alhora fidel, en la mesura que això és possible, al text de Joanot Martorell.","['Classics', 'Fiction', 'School', 'Literature', '15th Century', 'Medieval', 'Novels', 'Historical', 'Historical Fiction', 'Romance']",title_author
140262601,The War of the End of the World,Mario Vargas Llosa,1997,Penguin Books,"The War of the End of the World is one of the great modern historical novels. Inspired by a real episode in Brazilian history, Mario Vargas Llosa tells the unforgettable story of an apocalyptic movement, led by a mysterious prophet, in which prostitutes, beggars and bandits establish Canudos, a new republic, a libertarian paradise.

~publisher's web site","['Fiction', 'Historical Fiction', 'Literature', 'Latin American', 'Novels', 'War', 'Nobel Prize', 'Spanish Literature', 'Classics', 'Brazil']",title_author
055328066X,Waiting for the Galactic Bus,Parke Godwin,1989,Spectra Books,"Imagine two brothers off on an intergalatic Spring Break. When their friends leave them behind on Earth, they've got a few millenia to kill before they'll manage to get back to school. So, as an experiment, mind you, they decide to give evolution a bit of a nudge... And that's when all hell breaks loose... a little more literally than either of them planned...","['Science Fiction', 'Fantasy', 'Fiction', 'Humor', 'Speculative Fiction', 'Science Fiction Fantasy', 'Comedy', 'Urban Fantasy', 'Alternate History']",title_author
679736344,Where Angels Fear to Tread,E. M. Forster,1992,Vintage Books USA,"When the young English widow Lilia Herriton takes off on the grand tour and along the way marries a penniless Italian, her in-laws are far from amused. That the marriage should fail and poor Lilia die tragically are only to be expected. But that Lilia should have had a baby - and that the baby should be raised as an Italian! - are matters requiring immediate correction by Philip Herriton, his dour sister Harriet, and their well-meaning friend Miss Abbott.","['Classics', 'Fiction', 'Italy', 'British Literature', '20th Century', 'Literature', 'Historical Fiction', 'Novels', 'Romance', 'Classic Literature']",title_author
1842230441,Sushi for beginners,Marian Keyes,2001,Poolberg,"Lisa EdwardsThis Prada-wearing magazine editor thinks her life is over when her ""fabulous"" new job turns out to be a deportation to Dublin to launch Colleen magazine. The only saving grace is that her friends aren't there to witness her downward spiral. Might her new boss, the disheveled and moody Jack Devine, save her from a fate worse than hell?Ashling KennedyAshling, Colleen's assistant editor, is an award-winning worrier, increasingly aware that something fundamental is missing from her life -- apart from a boyfriend and a waistline.Clodagh ""Princess"" KellyAshling's best friend, Clodagh, lives the domestic dream in a suburban castle. So why, lately, has she had the recurring urge to kiss a frog -- or sleep with a frog, if truth be told? As these three women search for love, success, and happiness, they will discover that if you let things simmer under the surface for too long, sooner or later they'll boil over.","['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Ireland', 'Humor', 'Irish Literature', 'Adult', 'Contemporary Romance', 'Adult Fiction']",title_author
679411674,Jazz,TONI MORRISON,1992,Knopf,"In the winter of 1926, when everybody everywhere sees nothing but good things ahead, Joe Trace, middle-aged door-to-door salesman of Cleopatra beauty products, shoots his teenage lover to death. At the funeral, Joe’s wife, Violet, attacks the girl’s corpse. This passionate, profound story of love and obsession brings us back and forth in time, as a narrative is assembled from the emotions, hopes, fears, and deep realities of black urban life.","['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Literature', 'Novels', 'Literary Fiction', 'American', 'Historical', 'African American Literature']",title_author
671737643,"Whitney, My Love",Judith McNaught,1991,Pocket,"Fresh from her triumphs in Paris society, Whitney Stone returns to England determined to win the heart of her childhood love. However, in order to save himself from ruin, her father has come to an arrangement with the arrogant Duke of Claymore, and Whitney is the price.

--This text refers to an out of print or unavailable edition of this title.","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Regency', 'Adult', 'Regency Romance', 'Chick Lit', 'British Literature']",title_author
151191530,The Color Purple,Alice Walker,1982,Harcourt Inc,"Winner of the Pulitzer Prize and the National Book Award. Alice Walker's iconic modern classic is now a Penguin Book.A powerful cultural touchstone of modern American literature, The Color Purple depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. The Color Purple broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love.","['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'Historical', 'LGBT', 'African American', 'Literature', 'Novels', 'Adult']",title_author
671873113,American Star,Jackie Collins,1993,Pocket,"Newly repackaged—classic novels from New York Times bestselling author Jackie Collins!Power. Sex. Money. Fame. The new Hollywood wives have it all. And if they don’t have it—they want it. And whatever these women want—they get. Ambitious, young, smart, and lethal, the Hollywood wives are back with a vengeance, pushing their way to the forefront. Forget shopping—they’re into achieving everything their famous husbands have and more, and they don’t care how they do it.Three talented, ambitious dreamers have struggled for super-stardom—and lived hard and fast in a mind-bending whirl of parties, drugs, and sex. Now their fates collide at the plush Los Angeles estate of a powerful music industry magnate, where one man’s secret vendetta will trap them in its sudden, murderous heat....Nick and Lauren can never forget each other. Teenage small-town lovers—he from the wrong side of the tracks, she the prettiest girl in town—their love was the town scandal, forbidden, sizzling and unforgettable, ending abruptly in a tragedy that sent them into separate orbits. As Nick and Lauren both rise to fame, haunted by the secret they share, they try to live without each other—only to find they can’t.","['Romance', 'Fiction', 'Chick Lit', 'Contemporary Romance', 'Contemporary', 'Drama', 'Womens Fiction', 'Novels', 'Amazon', 'Adult']",title_author
067146714X,LACE,Shirley Conran,1983,Pocket,"Four women, Judy, Kate, Pagan and Maxine, are summoned to a New York apartment where they are asked which one of them is the mother of the host. As they unlock the past, the women remember the things that tie them together.","['Fiction', 'Romance', 'Chick Lit', 'Drama', 'Contemporary', 'Adult Fiction', 'New York', 'Womens Fiction', 'Novels', 'Historical Fiction']",title_author
345388771,Primal Fear,William Diehl,1996,Ballantine Books,"Martin Vail, the brilliant ""bad-boy"" lawyer every prosecutor and politician love to hate, is defending Aaron Stampler, a man found holding a bloody butcher's knife near a murdered archbishop. Vail is certain to lose, but Vail uses his unorthodox ways to good advantage when choosing his legal team—a tight group of men and women who must uncover the extraordinary truth behind the archbishop's slaughter. They do, in a heart-stopping climax unparalleled for the surprise it springs on the reader...","['Thriller', 'Mystery', 'Fiction', 'Crime', 'Suspense', 'Drama', 'Novels', 'Psychological Thriller', 'Mystery Thriller', 'Legal Thriller']",title_author
394513924,Congo,Michael Crichton,1980,Random House Inc,"Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.Ten thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies — all motionless except for one moving image — a grainy, dark, man-shaped blur.In San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 “signs,” the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition — along with Amy — is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death …source: michaelcrichton.com","['Fiction', 'Science Fiction', 'Thriller', 'Adventure', 'Horror', 'Mystery', 'Suspense', 'Africa', 'Mystery Thriller', 'Novels']",title_author
892550147,Bread Givers,Anzia Yezierska,1999,Persea Books,"This masterwork of American immigrant literature is set in the 1920s on the Lower East Side of Manhattan and tells the story of Sara Smolinsky, the youngest daughter of an Orthodox rabbi, who rebels against her father's rigid conception of Jewish womanhood. Sarah's struggle towards independence and self-fulfillment resonates with a passion all can share. Beautifully redesigned page for page with the previous editions, Bread Givers is an essential historical work with enduring relevance.","['Fiction', 'Historical Fiction', 'Classics', 'Jewish', 'School', 'Historical', 'Novels', 'Literature', 'College', 'Read For School']",title_author
394525299,Billy Bathgate,E.L. Doctorow,1989,Random House Inc,"In 1930's New York, Billy Bathgate, a fifteen-year-old highschool dropout, has captured the attention of infamous gangster Dutch Schultz, who lures the boy into his world of racketeering. The product of an East Bronx upbringing by his half-crazy Irish Catholic mother, after his Jewish father left them long ago, Billy is captivated by the world of money, sex, and high society the charismatic Schultz has to offer. But it is also a world of extortion, brutality, and murder, where Billy finds himself involved in a dangerous affair with Schultz's girlfriend.Relive this story through the title character's driving narrative, a child's thoughts and feelings filtered through the sensibilities of an adult, and the result is E.L. Doctorow's most convincing and appealing portrayal of a young boy's life. Converging mythology and history, one of America's most admired authors has captured the romance of gangsters and criminal enterprise that continues to fascinate the American psyche today.","['Fiction', 'Historical Fiction', 'Crime', 'Literature', 'Historical', 'Literary Fiction', 'Novels', 'American', 'New York', 'Classics']",title_author
385237081,The Evening News,Arthur Hailey,1990,Bantam Dell Pub Group,"This passionate, terrifying drama takes us behind the scenes of a great television network faced with mortal dangers and moral challenges as it collides with a smaller but equally potent force--the most feared terrorist group in the Americas. Few writers possess Hailey's ability to combine careful, accurate research with a profound sense of human drama. (Doubleday)","['Fiction', 'Thriller', 'Adventure', 'Novels', 'Suspense', 'Mystery', 'Contemporary', 'Mystery Thriller', 'Crime', 'Journalism']",title_author
671001167,Dead Man's Walk,Larry McMurtry,1996,Pocket,"Dead Man's Walk is the first, extraordinary book in the epic Lonesome Dove tetralogy, in which Larry McMurtry breathed new life into the vanished American West and created two of the most memorable heroes in contemporary fiction: Augustus McCrae and Woodrow Call.  As young Texas Rangers, Gus and Call have much to learn about survival in a land fraught with perils: not only the blazing heat and raging tornadoes, roiling rivers and merciless Indians but also the deadly whims of soldiers. On their first expeditions--led by incompetent officers and accompanied by the robust, dauntless whore known as the Great Western--they will face death at the hands of the cunning Comanche war chief Buffalo Hump and the silent Apache Gomez. They will be astonished by the Mexican army. And Gus will meet the love of his life.","['Westerns', 'Fiction', 'Historical Fiction', 'Historical', 'Adventure', 'Audiobook', 'Novels', 'Adult Fiction', 'American', 'Adult']",title_author
034532532X,The Lasko Tangent,Richard North Patterson,1994,Ballantine Books,"William Lasco is a self-made multimillionaire who's got an eye for wealth and influence, the ear of the President, and a talent for using both to get what he wants. Now the Economic Crime Commission wants the corrupt, untouchable Lasko brought down - and US Attorney Christopher Paget is tipped to take on the job. To gather enough evidence to nail Lasko without alienating the White House, Paget has to go by the book. But Lasko makes his own rules. And eliminating his enemies is William Lasko`s golden rule. . In The Lasko Tangent, Richard North Patterson has written an unstoppable thriller of one man's fight for justice - the man who became the hero of his phenomenal international bestseller, Degree of Guilt.","['Fiction', 'Mystery', 'Thriller', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Novels']",title_author
441813046,Titan,John Varley,1992,Ace Books,"It begins with humankind's exploration of a massive satellite orbiting Saturn. It culminates in a shocking discovery: the satellite is a giant alien being. Her name is Gaea. Her awesome interior is mind-boggling—because it is a mind. A mind that calls out to explorers, transforming all who enter.","['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Space Opera', 'Aliens', 'Audiobook', 'LGBT', 'Novels']",title_author
425092046,Solstice,Joyce Carol Oates,1986,Berkley Pub Group,"Originally published in 1985, Solstice is the gripping story of Monica Jensen and Sheila Trask, two young women who are complete opposites yet irresistibly attracted to each other. Blonde, shy, recently divorced Monica is a school teacher; dark, nocturnal, sophisticated Sheila is a painter of stature, driven by the needs of her art. Over the months, their friendship deepens, first to love and then to a near-fatal obsession.","['Fiction', 'Romance', 'Novels', 'Contemporary', 'Literature', 'American', 'Female Authors', 'Literary Fiction']",title_author
